PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,Type of compound activity based on both the GR agonist mode screen and the auto fluorescence counter screens.,Type of compound activity in the ratio readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the ratio readout of the GR agonist mode screen.,Percent activation in the ratio readout of the GR agonist mode screen.,Type of compound activity in the 530 nm readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 530 nm readout of the GR agonist mode screen.,Percent activation in the 530 nm readout of the GR agonist mode screen.,Type of compound activity in the 460 nm readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 460 nm readout of the GR agonist mode screen.,Percent activation in the 460 nm readout of the GR agonist mode screen.,Type of compound activity in the auto fluorescence counter screens.,Where sample was obtained.
RESULT_UNIT,,,,,,,NONE,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,
8504,144212057,3005572,Inconclusive,5,,,inconclusive,inconclusive agonist,40.8604,214.767,inconclusive antagonist,28.9269,-105.178,active antagonist,36.4168,-33.1692,inactive,Sigma DiscoveryCPR
8505,144212058,16773,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8506,144212059,11696,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8507,144212060,93098,Inactive,0,,,inactive,inactive,,0,active antagonist,24.5412,-62.8812,inconclusive antagonist,24.5412,-34.4141,inactive,Sigma DiscoveryCPR
8508,144212061,94647,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8509,144212062,118285,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8510,144212063,36326,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8511,144212064,6518,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8512,144212065,312440,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8513,144212066,112322,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8514,144212067,69765,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8515,144212068,5284462,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8516,144212069,22628,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8517,144212070,113027,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8518,144212071,82170,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8519,144212072,4528,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8520,144212073,27211,Inconclusive,5,,,inconclusive,inconclusive antagonist,,-16.7363,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8521,144212074,42981,Inconclusive,5,,,inconclusive,inconclusive agonist,,0,inconclusive antagonist,,0,inconclusive antagonist,,0,inactive,Sigma DiscoveryCPR
8522,144212075,94785,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8523,144212076,84872,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8524,144212077,4373502,Inconclusive,5,,,inconclusive,inconclusive agonist,,19.3748,active antagonist,33.3603,-62.9554,active antagonist,24.5412,-37.0762,inactive,Sigma DiscoveryCPR
8525,144212078,23672293,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8526,144212079,6640,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8527,144212080,75518,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8528,144212081,5365748,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8529,144212082,23690437,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8530,144212083,23677979,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8531,144212084,6610,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,58.1965,-35.4917,inactive,Sigma DiscoveryCPR
8532,144212085,74448,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8533,144212086,60196421,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8534,144212087,60196422,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8535,144212088,82167,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8536,144212089,104150,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8537,144212090,459494,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8538,144212091,61771,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8539,144212092,62328,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8540,144212093,103005,Inconclusive,5,,,inconclusive,inconclusive agonist,54.941,43.8549,inconclusive antagonist,54.941,-72.621,inconclusive,,0,inactive,SIGMA
8541,144212094,85192,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8542,144212095,5392,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8543,144212096,8878,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8544,144212097,135424354,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8545,144212098,9024,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8546,144212099,17617,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8547,144212100,31219,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8548,144212101,24114,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8549,144212102,11230,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8550,144212103,85178,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8551,144212104,60196424,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8552,144212105,75903,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8553,144212106,4385787,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8554,144212107,60196425,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8555,144212108,60196426,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8556,144212109,91747,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8557,144212110,3744660,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8558,144212111,87367,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8559,144212112,16683072,Inconclusive,5,,,inconclusive,active agonist,13.8006,155.828,active antagonist,3.88952,-87.3018,active antagonist,1.01523,-38.08,inactive,Sigma DiscoveryCPR
8560,144212113,23662382,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8561,144212114,546717,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8562,144212115,61285,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8563,144212116,61571,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8564,144212117,92238,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8565,144212118,80786,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8566,144212119,67065,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8567,144212120,81196,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8568,144212121,91783,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8569,144212122,23690996,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8570,144212123,90098,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8571,144212124,60976,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8572,144212125,12793,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8573,144212126,90258,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8574,144212127,91984,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8575,144212128,70755,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8576,144212129,5386,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8577,144212130,92251,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8578,144212131,15359,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8579,144212132,25051,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sigma DiscoveryCPR
8580,144212133,109029,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8581,144212134,9564,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8582,144212135,9403,Inconclusive,5,,,inconclusive,active agonist,57.0904,114.877,active antagonist,59.3239,-89.8422,inconclusive antagonist,24.5412,-34.7984,inactive,SIGMA
8583,144212136,68539,Inconclusive,5,,,inconclusive,inconclusive agonist,61.6448,38.1266,inconclusive,,0,inconclusive antagonist,61.6448,-40.6649,inactive,SIGMA
8584,144212137,27458,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8585,144212138,12180,Inconclusive,5,,,inconclusive,inconclusive agonist,,0,inactive,,0,inactive,,0,inactive,SIGMA
8586,144212139,548353,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8587,144212140,520098,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8588,144212141,5364495,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8589,144212142,1549018,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8590,144212143,6428555,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8591,144212144,3325,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8592,144212145,3334,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,active agonist,0.54941,31.2798,inactive,SIGMA
8593,144212146,10285,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8594,144212147,60196427,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
8595,144212148,15287,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
8596,144212149,41114,Inconclusive,10,,,inconclusive antagonist,inconclusive antagonist,,-13.0287,inactive,,0,inconclusive antagonist,51.5569,-34.8362,inactive,SIGMA
8597,144212150,31202,Inconclusive,5,,,inconclusive,active agonist,38.6172,135.151,active antagonist,20.8985,-83.7559,active antagonist,14.795,-40.2659,inactive,SIGMA
8598,144212151,3478,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8599,144212152,444037,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8600,144212153,6893,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
8601,144212154,6291,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8602,144212155,11622,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8603,144212156,5318042,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8604,144212157,261491,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8605,144212158,55245,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8606,144212159,73281,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8607,144212160,52997,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8608,144212161,62884,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8609,144212162,39042,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8610,144212163,26758,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8611,144212164,3698,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8612,144212165,5280378,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8613,144212166,5284373,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,LightBiologicals
8614,144212167,4495,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8615,144212168,38235,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8616,144212169,43233,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8617,144212170,53735,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8618,144212171,24743,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8619,144212172,12572,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8620,144212173,15583,Inconclusive,5,,,inconclusive,active agonist,57.0904,31.9121,active antagonist,57.0904,-63.1706,active antagonist,59.3239,-29.0594,inactive,LightBiologicals
8621,144212174,50895,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8622,144212175,8292,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8623,144212176,24608,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8624,144212177,54682651,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8625,144212178,1730,Inconclusive,5,,,inconclusive,active agonist,29.7324,27.1819,inactive,,0,inactive,,0,inactive,LightBiologicals
8626,144212179,57351929,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8627,144212180,101150,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8628,144212181,23678979,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8629,144212182,21984,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8630,144212183,6134,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8631,144212184,70014,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8632,144212185,16682993,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8633,144212186,7313,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8634,144212187,17695,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8635,144212188,15260,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8636,144212189,91749,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8637,144212190,3899,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8638,144212191,47445,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8639,144212192,60974,Inconclusive,5,,,inconclusive,active agonist,50.0091,148.161,active antagonist,50.0091,-99.4351,inconclusive antagonist,50.0091,-42.0814,inactive,LightBiologicals
8640,144212193,23654,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8641,144212194,61234,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8642,144212195,12810,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8643,144212196,41690,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8644,144212197,16463,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8645,144212198,42745,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8646,144212199,97971,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8647,144212200,21322,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8648,144212201,97354,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8649,144212202,23703979,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8650,144212203,5284435,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8651,144212204,5360487,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8652,144212205,62240,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8653,144212206,23665583,Inconclusive,20,,,active antagonist,active antagonist,59.3239,-22.2954,inactive,,0,inconclusive antagonist,61.6448,-35.9913,inactive,LightBiologicals
8654,144212207,3034319,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8655,144212208,9690,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8656,144212209,19113,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8657,144212210,77288,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8658,144212211,17722,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8659,144212212,20936,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8660,144212213,67123,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8661,144212214,23681382,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8662,144212215,114644,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8663,144212216,135565106,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8664,144212217,23674215,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8665,144212218,20848,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8666,144212219,16115,Inconclusive,5,,,inconclusive,inconclusive antagonist,,-14.615,inactive,,0,inactive,,0,inactive,LightBiologicals
8667,144212220,30709,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8668,144212221,36274,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8669,144212222,13689,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8670,144212223,92421,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8671,144212224,5859,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8672,144212225,17168,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8673,144212226,3032792,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8674,144212227,6805,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8675,144212228,6442,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8676,144212229,15998,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8677,144212230,47455,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8678,144212231,22094,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8679,144212232,91742,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8680,144212233,17349,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8681,144212234,33256,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8682,144212235,16422,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8683,144212236,38283,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8684,144212237,54680085,Inconclusive,5,,,inconclusive,active agonist,58.3338,35.3116,active antagonist,56.1376,-68.299,inconclusive antagonist,13.0593,-31.0191,inactive,LightBiologicals
8685,144212238,92873,Inconclusive,5,,,inconclusive,active antagonist,,-19.1394,inactive,,0,inconclusive,,0,inactive,LightBiologicals
8686,144212239,16183,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8687,144212240,8710,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8688,144212241,69827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8689,144212242,70754,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8690,144212243,54680660,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8691,144212244,9568,Inactive,0,,,inactive,inactive,,0,active agonist,54.941,28.0631,inactive,,0,inactive,LightBiologicals
8692,144212245,81882,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8693,144212246,2140,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8694,144212247,14240,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8695,144212248,31315,Inconclusive,5,,,inconclusive,active antagonist,,-16.5407,inactive,,0,inactive,,0,inactive,LightBiologicals
8696,144212249,88209,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,2.06489,25.887,inactive,,0,inconclusive agonist,2.06489,35.6451,inactive,LightBiologicals
8697,144212250,89385,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8698,144212251,23675737,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8699,144212252,117746,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8700,144212253,6850780,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,37.1063,23.7408,inactive,,0,active agonist,33.071,52.8809,fluorescent,LightBiologicals
8701,144212254,62142,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,34.6654,23.0801,inactive,,0,inactive,LightBiologicals
8702,144212255,67350,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8703,144212256,99016,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8704,144212257,28417,Inactive,0,,,inactive,inactive,,0,active antagonist,61.6448,-56.3116,inconclusive antagonist,17.3739,-56.976,inactive,LightBiologicals
8705,144212258,4964,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8706,144212259,15046,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8707,144212260,5920,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8708,144212261,439260,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8709,144212262,70801,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8710,144212263,6435993,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8711,144212264,94314,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8712,144212265,83268,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8713,144212266,2758725,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8714,144212267,7210,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8715,144212268,61948,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8716,144212269,205586,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8717,144212270,156391,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8718,144212271,13382,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8719,144212272,19223,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8720,144212273,76857,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8721,144212274,91697,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
